agents,utilities
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","-1.0;0.0;1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","-0.5;-0.5;1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0')","-0.5;-0.5;1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0')","1.0;-0.5;-0.5"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0')","-1.0;1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0')","0.0;0.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","-1.0;0.0;1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-Random0' / 'MCTS-ProgressiveHistory-0.6-NST')","-1.0;0.0;1.0"
