agents,utilities
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-0.5;-0.5"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-0.5;-0.5"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-0.5;-0.5"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-0.6-Random0' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","1.0;0.0;-1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","-0.5;1.0;-0.5"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","-0.5;1.0;-0.5"
"('Random' / 'MCTS-UCB1Tuned-0.6-Random0' / 'Random')","0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","-0.5;1.0;-0.5"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","-0.5;-0.5;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","-0.5;-0.5;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.6-Random0')","0.0;0.0;0.0"
