agents,utilities
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST')","-1.0;1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST')","0.5;-1.0;0.5"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST')","0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","0.5;-1.0;0.5"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;0.5;0.5"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;1.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.0;-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;0.5;0.5"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;0.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
