agents,utilities
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4')","0.5;0.5;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-1.0;0.0"
