agents,utilities
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-1.0;1.0;0.25;0.25;-0.5"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.5;-0.5;1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST')","1.0;-1.0;0.0;-0.5;0.5"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST')","-1.0;-0.5;1.0;0.5;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST')","0.5;1.0;-1.0;-0.5;0.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-1.0;0.0;1.0;0.5;-0.5"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST')","-0.5;-0.5;1.0;-0.5;0.5"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST')","1.0;0.5;-1.0;-0.5;0.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST')","0.5;-0.75;0.0;-0.75;1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-1.0;-0.5;0.5;1.0;0.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST')","1.0;0.0;-1.0;0.5;-0.5"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","-0.75;-0.75;0.0;0.5;1.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random200')","-0.5;0.5;0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST')","0.0;-1.0;0.5;1.0;-0.5"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-NST')","1.0;-1.0;0.5;0.0;-0.5"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-NST')","-1.0;-0.5;0.0;1.0;0.5"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST')","-1.0;1.0;0.5;0.0;-0.5"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST')","-1.0;-0.5;0.0;1.0;0.5"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST')","0.0;-1.0;-0.5;1.0;0.5"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST')","0.5;1.0;0.0;-0.5;-1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST')","1.0;-0.5;0.0;-1.0;0.5"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST')","1.0;0.5;-0.75;0.0;-0.75"
"('MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST')","1.0;-1.0;-0.5;0.5;0.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-MAST')","-0.5;0.5;0.0;-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-Random200')","0.0;1.0;-0.5;-1.0;0.5"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random200' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST')","-1.0;1.0;0.25;0.25;-0.5"
