agents,utilities
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4')","-1.0;1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4')","0.0;-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST')","0.0;-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST')","0.0;-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","0.0;-1.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;-1.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","-1.0;0.0;1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.5;-0.5"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;1.0;0.0"
