agents,utilities
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random' / 'Random')","0.0;1.0;-0.5;-1.0;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","0.5;1.0;-0.5;0.0;-1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;0.0;-0.5;0.5;-1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","-0.5;1.0;0.0;-1.0;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","0.5;-1.0;1.0;0.0;-0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","-0.5;1.0;-1.0;0.0;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;0.0;-0.75;-0.75;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","1.0;0.5;-1.0;0.0;-0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0')","-0.75;1.0;-0.75;0.5;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","1.0;-0.5;0.5;-1.0;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","-0.5;1.0;0.0;-1.0;0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","0.0;-0.75;1.0;-0.75;0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","0.5;1.0;-0.5;0.0;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","-1.0;1.0;0.5;-0.5;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","-0.5;-1.0;0.5;1.0;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","-0.75;0.5;-0.75;0.0;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","-1.0;1.0;0.5;-0.5;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","1.0;-0.5;0.0;0.5;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","0.5;-1.0;0.0;1.0;-0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","-0.5;0.0;-1.0;0.5;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random0' / 'Random')","0.0;1.0;-0.5;-1.0;0.5"
