agents,utilities
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.1-Random0')","0.5;-0.5;0.0;1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0')","0.0;-1.0;-0.5;0.5;1.0"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-1.0;1.0;0.5;-0.5;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-0.5;0.5;-1.0;1.0;0.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-1.0;-0.5;1.0;0.0;0.5"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-0.5;0.5;0.0;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0')","1.0;0.5;0.0;-1.0;-0.5"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.1-Random0')","0.0;1.0;0.5;-0.5;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","1.0;-1.0;0.0;-0.5;0.5"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","1.0;-0.5;-1.0;0.5;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-0.1-Random0')","0.0;1.0;0.5;-0.5;-1.0"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.5;0.0;-1.0;1.0;-0.5"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-0.6-Random200')","0.5;-0.5;0.0;-1.0;1.0"
"('MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.0;1.0;-1.0;-0.5;0.5"
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","0.5;-0.5;0.0;-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-ProgressiveHistory-0.1-NST')","0.0;0.5;-1.0;-0.5;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200')","0.5;1.0;0.0;-0.75;-0.75"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1GRAVE-0.1-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","0.5;-1.0;-0.5;1.0;0.0"
