agents,utilities
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.0;0.5;1.0;-0.5;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","-0.5;0.5;1.0;0.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.5;-0.75;1.0;0.0;-0.75"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.5;-0.75;1.0;-0.75;0.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.5;-1.0;1.0;0.0;-0.5"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.0;-0.5;0.75;-1.0;0.75"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.5;-0.75;1.0;0.0;-0.75"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.5;-1.0;1.0;0.0;-0.5"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.5;-0.5;0.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","-0.75;0.0;1.0;-0.75;0.5"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","-0.75;0.0;1.0;-0.75;0.5"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.0;-0.5;1.0;-1.0;0.5"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","0.5;-0.5;1.0;-1.0;0.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","0.0;1.0;-0.75;0.5;-0.75"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","-1.0;1.0;-0.5;0.5;0.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","0.5;0.0;-0.5;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","0.0;0.5;-0.75;-0.75;1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","-1.0;1.0;-0.5;0.5;0.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","0.5;1.0;0.0;-0.75;-0.75"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","0.5;1.0;-0.5;-1.0;0.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random')","0.0;0.5;-0.5;-1.0;1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","0.5;-1.0;0.0;1.0;-0.5"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.5;0.0;-0.75;-0.75"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.0;-1.0;0.5;-0.5"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","0.5;0.0;-0.75;-0.75;1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-1.0;-0.5;0.0;0.5"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.5;-1.0;0.5;0.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","0.0;0.5;-0.5;1.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.5;0.0;0.5;-1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.5;0.5;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.0;0.5;-0.75;-0.75"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.0;-1.0;-0.5;0.5;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.5;-0.5;-1.0;0.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.0;0.5;-0.5;-1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.0;-0.75;0.5;-0.75;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;-0.5;0.5;1.0;0.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0;-0.5;0.5;0.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-0.5;1.0;0.0;-1.0;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;1.0;-0.5;0.0;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.0;0.5;-0.5;-1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-0.5;0.5;-1.0;0.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.5;0.0;-0.5;-1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-0.5;0.0;0.5;-1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;-0.5;0.5;1.0;0.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-0.75;0.0;-0.75;1.0;0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;-1.0;1.0;0.5;-0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.5;-0.75;-0.75;1.0;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","-0.75;0.0;-0.75;1.0;0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","-0.5;-0.5;0.75;0.75;-0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","1.0;-1.0;0.0;0.5;-0.5"
