agents,utilities
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random')","0.0;0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","0.0;0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","0.0;0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","0.0;0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random')","0.0;0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","0.0;0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","0.0;0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;1.0;-0.33333333333333326"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","0.0;0.0;0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;-0.33333333333333326;1.0"
