agents,utilities
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","0.0;1.0;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","0.0;-1.0;1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","-1.0;1.0;0.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","-1.0;1.0;0.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","0.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","-1.0;1.0;0.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","0.0;1.0;-1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","0.0;-1.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","1.0;-1.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","-1.0;0.0;1.0"
"('MCTS-UCB1GRAVE-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","1.0;-1.0;0.0"
