agents,utilities
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.0;-0.5;0.5;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","-0.25;-1.0;1.0;-0.25;0.5"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.5;0.0;-0.5;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.75;-0.75;0.0;0.5"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.5;0.5;-1.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.5;-0.5;0.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","0.0;-1.0;1.0;-0.5;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","0.5;-0.5;0.0;-1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-1.0;0.5;0.0;-0.5;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-1.0;0.5;0.0;-0.5;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-0.5;-0.5;-0.5;0.5;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","0.5;-0.5;-1.0;0.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-1.0;-0.5;0.5;0.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","1.0;0.0;-0.5;-1.0;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","0.0;-0.5;-1.0;1.0;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","-0.75;1.0;-0.75;0.5;0.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST')","0.5;1.0;-1.0;-0.5;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.5;-0.5;1.0;0.0;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.5;-0.5;0.0;1.0;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.0;0.5;-0.75;1.0;-0.75"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.0;0.5;-0.75;1.0;-0.75"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","-0.5;0.5;0.0;1.0;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.0;0.5;-1.0;1.0;-0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.5;0.0;-0.5;1.0;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.0;0.5;-1.0;1.0;-0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","-0.5;0.0;0.5;1.0;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.0;1.0;0.5;-0.75;-0.75"
"('Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random')","0.5;-0.5;0.0;1.0;-1.0"
