agents,utilities
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","1.0;-1.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","0.33333333333333337;-1.0;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","-0.33333333333333326;-1.0;1.0;0.33333333333333337"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","-0.33333333333333326;1.0;-1.0;0.33333333333333337"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","-1.0;1.0;0.33333333333333337;-0.33333333333333326"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","1.0;0.33333333333333337;-0.33333333333333326;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","-0.33333333333333326;-1.0;0.33333333333333337;1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","-0.33333333333333326;1.0;-1.0;0.33333333333333337"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","0.33333333333333337;1.0;-0.33333333333333326;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","1.0;-1.0;0.33333333333333337;-0.33333333333333326"
"('Random' / 'Random' / 'MCTS-UCB1Tuned-0.1-NST' / 'Random')","1.0;-0.33333333333333326;0.33333333333333337;-1.0"
"('MCTS-UCB1Tuned-0.1-NST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-NST' / 'Random' / 'Random' / 'Random')","1.0;-1.0;0.33333333333333337;-0.33333333333333326"
"('MCTS-UCB1Tuned-0.1-NST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-1.0;0.33333333333333337;1.0"
"('MCTS-UCB1Tuned-0.1-NST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-1.0;1.0;0.33333333333333337"
"('MCTS-UCB1Tuned-0.1-NST' / 'Random' / 'Random' / 'Random')","-1.0;-0.33333333333333326;1.0;0.33333333333333337"
"('MCTS-UCB1Tuned-0.1-NST' / 'Random' / 'Random' / 'Random')","0.33333333333333337;-1.0;-0.33333333333333326;1.0"
"('MCTS-UCB1Tuned-0.1-NST' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;0.33333333333333337;-1.0"
