agents,utilities
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;0.33333333333333337;-1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;0.33333333333333337;-1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","0.33333333333333337;1.0;-0.33333333333333326;-1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","1.0;-1.0;0.33333333333333337;-0.33333333333333326"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","0.33333333333333337;-0.33333333333333326;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-1.0;1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","-1.0;0.33333333333333337;-0.33333333333333326;1.0"
"('MCTS-ProgressiveHistory-0.1-MAST' / 'Random' / 'Random' / 'Random')","-1.0;-0.33333333333333326;1.0;0.33333333333333337"
