GameRulesetName,Id
Ludus_CoriovalliBlocking_Game_Four_pieces_-_No_Extension_No_Joined_Diagonal_Suggested,1718
Ludus_CoriovalliBlocking_Game_Four_pieces_-_Top_Extension_No_Joined_Diagonal_Suggested,1719
Ludus_CoriovalliBlocking_Game_Four_pieces_-_Both_Extension_No_Joined_Diagonal_Suggested,1720
Ludus_CoriovalliLine_Game_Three_pieces_-_No_Extension_Joined_Diagonal_Suggested,1721
Ludus_CoriovalliLine_Game_Three_pieces_-_Top_Extension_Joined_Diagonal_Suggested,1722
Ludus_CoriovalliLine_Game_Three_pieces_-_Both_Extension_Joined_Diagonal_Suggested,1723
Ludus_CoriovalliLine_Game_Three_pieces_-_No_Extension_No_Joined_Diagonal_Suggested,1724
Ludus_CoriovalliLine_Game_Three_pieces_-_Top_Extension_No_Joined_Diagonal_Suggested,1725
Ludus_CoriovalliLine_Game_Three_pieces_-_Both_Extension_No_Joined_Diagonal_Suggested,1726
Ludus_CoriovalliJeu_Militaire_-_No_Extension_Joined_Diagonal_Suggested,1727
Ludus_CoriovalliJeu_Militaire_-_No_Extension_No_Joined_Diagonal_Suggested,1728
Ludus_CoriovalliJeu_Militaire_Switch_Players_-_No_Extension_Joined_Diagonal_Suggested,1729
Ludus_CoriovalliJeu_Militaire_Switch_Players_-_No_Extension_No_Joined_Diagonal_Suggested,1730
Ludus_CoriovalliJanes_Soppi_-_No_Extension_Joined_Diagonal_Suggested,1839
Ludus_CoriovalliJanes_Soppi_-_Top_Extension_Joined_Diagonal_Suggested,1843
Ludus_CoriovalliJanes_Soppi_-_Both_Extensions_Joined_Diagonal_Suggested,1841
Ludus_CoriovalliJanes_Soppi_-_No_Extension_No_Joined_Diagonal_Suggested,1840
Ludus_CoriovalliJanes_Soppi_-_Top_Extension_No_Joined_Diagonal_Suggested,1844
Ludus_CoriovalliJanes_Soppi_-_Both_Extensions_No_Joined_Diagonal_Suggested,1842
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_1_-_No_Extension_Joined_Diagonal_Suggested,1845
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_1_-_Top_Extension_Joined_Diagonal_Suggested,1849
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_1_-_Both_Extensions_Joined_Diagonal_Suggested,1847
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_1_-_No_Extension_No_Joined_Diagonal_Suggested,1846
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_1_-_Top_Extension_No_Joined_Diagonal_Suggested,1850
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_1_-_Both_Extensions_No_Joined_Diagonal_Suggested,1848
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_2_-_No_Extension_Joined_Diagonal_Suggested,1851
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_2_-_Top_Extension_Joined_Diagonal_Suggested,1855
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_2_-_Both_Extensions_Joined_Diagonal_Suggested,1853
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_2_-_No_Extension_No_Joined_Diagonal_Suggested,1852
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_2_-_Top_Extension_No_Joined_Diagonal_Suggested,1856
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Starting_Position_2_-_Both_Extensions_No_Joined_Diagonal_Suggested,1854
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_1_-_No_Extension_Joined_Diagonal_Suggested,1857
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_1_-_Top_Extension_Joined_Diagonal_Suggested,1861
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_1_-_Both_Extensions_Joined_Diagonal_Suggested,1859
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_1_-_No_Extension_No_Joined_Diagonal_Suggested,1858
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_1_-_Top_Extension_No_Joined_Diagonal_Suggested,1862
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_1_-_Both_Extensions_No_Joined_Diagonal_Suggested,1897
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_2_-_No_Extension_Joined_Diagonal_Suggested,1863
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_2_-_Top_Extension_Joined_Diagonal_Suggested,1867
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_2_-_Both_Extensions_Joined_Diagonal_Suggested,1865
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_2_-_No_Extension_No_Joined_Diagonal_Suggested,1864
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_2_-_Top_Extension_No_Joined_Diagonal_Suggested,1868
Ludus_CoriovalliHaretavl_Four_Dogs_Two_Hares_Switch_Starting_Position_2_-_Both_Extensions_No_Joined_Diagonal_Suggested,1896
Ludus_CoriovalliHaretavl_Starting_Position_-_No_Extension_Joined_Diagonal_Suggested,1869
Ludus_CoriovalliHaretavl_Starting_Position_-_Top_Extension_Joined_Diagonal_Suggested,1873
Ludus_CoriovalliHaretavl_Starting_Position_-_Both_Extensions_Joined_Diagonal_Suggested,1871
Ludus_CoriovalliHaretavl_Starting_Position_-_No_Extension_No_Joined_Diagonal_Suggested,1870
Ludus_CoriovalliHaretavl_Starting_Position_-_Top_Extension_No_Joined_Diagonal_Suggested,1874
Ludus_CoriovalliHaretavl_Starting_Position_-_Both_Extensions_No_Joined_Diagonal_Suggested,1872
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_-_No_Extension_Joined_Diagonal_Suggested,1875
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_1_-_No_Extension_No_Joined_Diagonal_Suggested,1876
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_2_-_No_Extension_No_Joined_Diagonal_Suggested,1877
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_-_Both_Extensions_Joined_Diagonal_Suggested,1878
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_-_Both_Extensions_No_Joined_Diagonal_Suggested,1879
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_1_-_Top_Extension_Joined_Diagonal_Suggested,1880
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_1_-_Top_Extension_No_Joined_Diagonal_Suggested,1881
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_2_-_Top_Extension_No_Joined_Diagonal_Suggested,1882
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_3_-_Top_Extension_No_Joined_Diagonal_Suggested,1883
Ludus_CoriovalliHaretavl_Three_Dogs_Two_Hares_Starting_Position_2_-_Top_Extension_Joined_Diagonal_Suggested,1884
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_-_No_Extension_Joined_Diagonal_Suggested,1885
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_1_-_No_Extension_No_Joined_Diagonal_Suggested,1886
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_2_-_No_Extension_No_Joined_Diagonal_Suggested,1887
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_-_Both_Extensions_Joined_Diagonals_Suggested,1888
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_-_Both_Extensions_No_Joined_Diagonal_Suggested,1889
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_1_-_Top_Extension_Joined_Diagonal_Suggested,1890
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_2_-_Top_Extension_Joined_Diagonal_Suggested,1891
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_1_-_Top_Extension_No_Joined_Diagonal_Suggested,1892
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_2_-_Top_Extension_No_Joined_Diagonal_Suggested,1893
Ludus_CoriovalliHaretavl_Two_Dogs_Starting_Position_3_-_Top_Extension_No_Joined_Diagonal_Suggested,1894
Ludus_CoriovalliHaretavl_Switch_Starting_Position_-_No_Extension_Joined_Diagonal_Suggested,1899
Ludus_CoriovalliHaretavl_Switch_Starting_Position_-_Top_Extension_Joined_Diagonal_Suggested,1903
Ludus_CoriovalliHaretavl_Switch_Starting_Position_-_Both_Extensions_Joined_Diagonal_Suggested,1901
