agents,utilities
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST')","-0.75;0.5;0.0;-0.75;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-1.0;1.0;0.5;0.0;-0.5"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random0')","1.0;0.5;-0.5;0.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","1.0;-1.0;0.5;-0.5;0.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-0.5;0.0;1.0;0.5;-1.0"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","0.5;-0.5;-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4')","-0.75;1.0;0.0;0.5;-0.75"
"('MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.6-Random0')","1.0;0.5;-0.5;-1.0;0.0"
"('MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","-0.5;0.5;1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST')","-1.0;-0.5;0.0;0.5;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-ProgressiveHistory-0.1-NST')","1.0;0.5;-1.0;-0.5;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.1-NST')","0.5;-0.75;-0.75;0.0;1.0"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.6-Random0')","1.0;0.0;0.5;-0.75;-0.75"
"('MCTS-ProgressiveHistory-0.1-NST' / 'MCTS-UCB1GRAVE-1.41421356237-MAST' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random4' / 'MCTS-UCB1-0.6-Random0')","1.0;0.5;-0.75;0.0;-0.75"
